start	end	text
252640	254640	Why can't you tell me?
254640	256640	Is it a lie?
256640	258640	No.
258640	260640	Don't lie to me. Let's go see Sunwoo.
260640	262640	Why do you want to see Sunwoo?
262640	264640	It's really important to you.
264640	266640	I'm going to tell you everything.
266640	268640	Don't lie to me.
268640	270640	What?
270640	272640	It's him.
272640	274640	What?
274640	276640	It's him.
276640	278640	Why are you so vague?
278640	280640	It's him.
280640	282640	It's him.
282640	284640	It's him?
284640	286640	Do you call your girlfriend?
286640	288640	It's him.
288640	290640	It's him?
290640	292640	His name is Lee.
292640	294640	What?
294640	296640	It's him.
296640	298640	His name is Lee?
298640	300640	It's him.
300640	302640	It's him.
302640	304640	It's him?
304640	306640	What's his name?
306640	308640	What?
308640	310640	What?
310640	312640	You said you were his girlfriend.
312640	314640	What's his name?
314640	316640	It's him.
316640	318640	What?
318640	320640	Why are you sitting separately?
320640	322640	What?
322640	324640	I'm going to fart.
324640	326640	What?
326640	328640	I'm going to fart and sit back down.
328640	330640	I'm next to you.
330640	332640	I have a friend next to me.
332640	334640	friend?
334640	336640	I'm here to introduce you to a friend.
336640	338640	I can't fart in here.
338640	340640	I have a bad stomach.
340640	342640	I was going to fart.
342640	344640	Don't lie to me.
344640	346640	What?
346640	348640	Come out to get married next month.
348640	350640	I'm here.
350640	352640	What?
352640	354640	I think you're uncomfortable right now.
358640	360640	What did you do?
360640	362640	What did you do?
362640	364640	We always play pranks.
366640	368640	What are you doing with your teeth?
370640	372640	Sit down.
372640	374640	Sit down.
374640	376640	Sit down.
376640	378640	My girlfriend is shy.
380640	382640	Sit down.
384640	386640	I'll sit down for a second.
386640	388640	Why are you putting on makeup?
388640	390640	Wait a minute.
390640	392640	I'm so scared.
394640	396640	I'm always funny.
396640	398640	What's your name?
398640	400640	Lee Boon
400640	402640	Where are you from?
402640	404640	I'm from Orion.
406640	408640	We met while playing pranks.
408640	410640	Are you two in love?
412640	414640	I'm shy.
414640	416640	I can't say I love you.
416640	418640	Are you two dating?
420640	422640	Why are you laughing?
426640	428640	Do I look handsome?
428640	430640	What's wrong with you?
430640	432640	Why are you so far away?
434640	436640	You're praying.
436640	438640	What do you like about him?
438640	440640	He's handsome.
440640	442640	I'll listen to you.
442640	444640	He's sexy.
444640	446640	Do you have a phobia?
446640	448640	He told me he was sexy.
450640	452640	You like him.
452640	454640	You're far away.
454640	456640	Thank you.
456640	458640	What do you like about him?
462640	464640	What do you like about him?
464640	466640	He's funny.
468640	470640	I like his face.
472640	474640	How long have you been dating?
476640	478640	10 years?
478640	480640	Be quiet.
480640	482640	How long have you been dating?
482640	484640	I don't know.
484640	486640	You can't speak well?
486640	488640	It's been a few years since I came to Korea.
488640	490640	I lived abroad.
490640	492640	I lived in Uganda.
494640	496640	Uganda?
496640	498640	Don't ask me that.
498640	500640	I'm not good at Korean.
502640	504640	What's your job?
504640	506640	I'm a lawyer.
506640	508640	I'm a farmer.
508640	510640	You're a farmer?
510640	512640	You're a farmer in Uganda?
512640	514640	I'm a lawyer.
516640	518640	You're a farmer in Uganda?
518640	520640	Stop it.
520640	522640	Get out of here.
522640	524640	What are you going to do?
524640	526640	I'll talk to you.
526640	528640	What are you talking about?
528640	530640	Tell your mom and dad to come here.
536640	538640	What did you just say?
538640	540640	What did you just say?
540640	542640	What did you just say?
542640	544640	Tell your mom and dad to come here.
544640	546640	This is a Christian church.
546640	548640	Tell your mom and dad to come here.
548640	550640	Okay, get out of here.
550640	552640	Can I sit down for a while?
552640	554640	Why?
554640	556640	You're pretty.
558640	560640	Do you like him a lot?
560640	562640	Do you like him a lot?
564640	566640	Do you like him a lot?
568640	570640	Are you sure you're dating him?
572640	574640	How much do you like him?
576640	578640	As much as my head hurts.
578640	580640	As much as my head hurts.
598640	600640	As much as my head hurts.
